"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"NRP1"	2.99529050585114e-159	-1.31906919534349	0.147	0.501	7.1111191899412e-155	"Cancer cells"	"NRP1"
"ERBB4"	4.04971603054789e-158	1.85801894356078	0.924	0.51	9.61443082812374e-154	"Cancer cells"	"ERBB4"
"LINC00504"	3.20152738367219e-157	1.23909408572944	0.766	0.186	7.60074616157614e-153	"Cancer cells"	"LINC00504"
"DENND1B"	5.18213919395681e-157	1.31616069515651	0.684	0.481	1.23029166603729e-152	"Cancer cells"	"DENND1B"
"MAPT"	7.18568796539595e-157	0.984869058923467	0.51	0.112	1.70595417986465e-152	"Cancer cells"	"MAPT"
"SHANK2"	1.39249238108433e-156	1.38149808040109	0.805	0.241	3.3059161619323e-152	"Cancer cells"	"SHANK2"
"MAGI3"	6.69033432827205e-156	1.19842955810377	0.829	0.485	1.58835227287507e-151	"Cancer cells"	"MAGI3"
"DPYD"	4.11378625456392e-154	-1.18241592956946	0.367	0.773	9.76653994696021e-150	"Cancer cells"	"DPYD"
"ADGRV1"	8.57348741418794e-154	1.14014946321825	0.602	0.157	2.03543164700236e-149	"Cancer cells"	"ADGRV1"
"QKI"	1.31901562891223e-153	-0.986450183048009	0.308	0.652	3.13147500460052e-149	"Cancer cells"	"QKI"
"LRBA"	4.96849555400463e-153	1.02759310944528	0.922	0.731	1.17957052947624e-148	"Cancer cells"	"LRBA"
"CERS4"	1.53510443191083e-151	1.02785534540298	0.595	0.262	3.64449143179949e-147	"Cancer cells"	"CERS4"
"TMC4"	1.30030315413786e-149	0.820937921550463	0.538	0.122	3.08704971823869e-145	"Cancer cells"	"TMC4"
"MAP4K4"	2.43387463689058e-148	-1.05610568701066	0.274	0.628	5.77826177544192e-144	"Cancer cells"	"MAP4K4"
"TPD52"	2.85201827514072e-148	1.25530353388466	0.621	0.22	6.77097658701158e-144	"Cancer cells"	"TPD52"
"MIR29B2CHG"	6.80465012324988e-148	0.900028398793129	0.699	0.37	1.61549198576075e-143	"Cancer cells"	"MIR29B2CHG"
"AR"	1.57413943056033e-147	1.0517155473839	0.687	0.241	3.73716442209327e-143	"Cancer cells"	"AR"
"NME3"	6.30588907698889e-144	0.795841301795196	0.574	0.219	1.49708112576793e-139	"Cancer cells"	"NME3"
"CACNA1D"	3.53947258580921e-143	1.28095659944043	0.719	0.277	8.40306186596964e-139	"Cancer cells"	"CACNA1D"
"VAV3"	2.09636231352574e-142	1.29846640443829	0.743	0.407	4.97697376854145e-138	"Cancer cells"	"VAV3"
"AFF3"	3.00480314283037e-142	1.73285455906204	0.9	0.505	7.13370314139359e-138	"Cancer cells"	"AFF3"
"ELMO1"	6.48883929373855e-142	-1.41309562647502	0.141	0.502	1.54051533672647e-137	"Cancer cells"	"ELMO1"
"MYO1E"	1.26585140936241e-141	-1.19325387848586	0.284	0.585	3.00525783096731e-137	"Cancer cells"	"MYO1E"
"LDLRAD3"	2.08310753834886e-138	1.14095499595263	0.742	0.391	4.94550560679404e-134	"Cancer cells"	"LDLRAD3"
"RBMS1"	2.80069096968781e-138	-0.921995421503201	0.368	0.692	6.64912043113583e-134	"Cancer cells"	"RBMS1"
"SIPA1L3"	5.81630192545602e-137	0.900976652924029	0.86	0.6	1.38084824012251e-132	"Cancer cells"	"SIPA1L3"
"AZGP1"	4.23150309540788e-136	1.10449249683443	0.711	0.322	1.00460114988079e-131	"Cancer cells"	"AZGP1"
"ENSA"	9.87783451015274e-136	0.8006120519792	0.663	0.401	2.34509669105536e-131	"Cancer cells"	"ENSA"
"LLGL2"	5.56480895100472e-135	0.832756328748664	0.595	0.182	1.32114129305803e-130	"Cancer cells"	"LLGL2"
"ASTN2"	2.80986602101787e-134	0.958894143039663	0.613	0.297	6.67090292049852e-130	"Cancer cells"	"ASTN2"
"COL4A5"	9.32489006689042e-134	1.11361768497129	0.57	0.202	2.21382215078046e-129	"Cancer cells"	"COL4A5"
"HOOK2"	2.07017995772029e-133	0.825006097121667	0.642	0.262	4.91481423762373e-129	"Cancer cells"	"HOOK2"
"WWP1"	1.06198321130749e-132	1.10884943200687	0.817	0.53	2.5212543419651e-128	"Cancer cells"	"WWP1"
"CLSTN2"	1.01454098756411e-131	1.62167792040898	0.59	0.206	2.40862175857594e-127	"Cancer cells"	"CLSTN2"
"MIPOL1"	3.20414485856683e-131	0.925060870243082	0.654	0.294	7.6069603087235e-127	"Cancer cells"	"MIPOL1"
"PEAK1"	2.52598525514569e-130	-1.01516073906174	0.313	0.623	5.99694159424138e-126	"Cancer cells"	"PEAK1"
"SAMD12"	6.61703372477139e-130	1.06011346552057	0.728	0.276	1.57094997659798e-125	"Cancer cells"	"SAMD12"
"ZMYND8"	1.2817185289238e-129	0.886800801500348	0.755	0.481	3.042927959518e-125	"Cancer cells"	"ZMYND8"
"SLC4A8"	4.64870685265421e-129	1.20910257131811	0.507	0.169	1.10364949388864e-124	"Cancer cells"	"SLC4A8"
"ICA1"	8.74380836757798e-129	0.949863894168614	0.653	0.266	2.07586754454669e-124	"Cancer cells"	"ICA1"
"PCSK6"	4.33417787131025e-127	1.10079589784548	0.524	0.145	1.02897716842777e-122	"Cancer cells"	"PCSK6"
"MBNL1"	5.65548425343065e-127	-0.96262548229195	0.702	0.877	1.34266851660697e-122	"Cancer cells"	"MBNL1"
"FGF13"	6.76056132002646e-126	1.33305944169366	0.669	0.209	1.60502486298748e-121	"Cancer cells"	"FGF13"
"MYO5C"	1.43237140427387e-124	0.804398918383735	0.633	0.211	3.40059295088659e-120	"Cancer cells"	"MYO5C"
"CDH1"	1.75878413580608e-124	0.847794752137346	0.603	0.188	4.17552941681721e-120	"Cancer cells"	"CDH1"
"RAD9A"	7.86301003884182e-124	0.757971421402136	0.654	0.327	1.86675721332144e-119	"Cancer cells"	"RAD9A"
"CERS6"	1.48956085318552e-122	0.824710258413942	0.786	0.53	3.53636642154773e-118	"Cancer cells"	"CERS6"
"ZNF91"	1.64773094030663e-121	0.827541859601962	0.723	0.478	3.91187802538197e-117	"Cancer cells"	"ZNF91"
"BRWD1"	2.78105759788606e-121	0.909034275989801	0.762	0.591	6.60250884314129e-117	"Cancer cells"	"BRWD1"
"IGF1R"	8.62745850900593e-121	0.930038365973221	0.857	0.641	2.0482449246231e-116	"Cancer cells"	"IGF1R"
"UACA"	1.44064330208317e-120	-0.860791714956244	0.231	0.502	3.42023126347566e-116	"Cancer cells"	"UACA"
"KIAA1522"	9.45144141634108e-120	0.625142155105319	0.512	0.164	2.24386670665354e-115	"Cancer cells"	"KIAA1522"
"NFIA"	2.30687164211376e-118	0.999107428187135	0.913	0.669	5.47674396554229e-114	"Cancer cells"	"NFIA"
"GLS"	4.55689442152229e-116	-0.785729920548957	0.273	0.568	1.08185230461361e-111	"Cancer cells"	"GLS"
"BICD1"	1.01537365788727e-115	-0.938033927931588	0.181	0.535	2.41059860119017e-111	"Cancer cells"	"BICD1"
"MORF4L2"	1.11660020031647e-115	0.710308831793035	0.62	0.355	2.65092053557133e-111	"Cancer cells"	"MORF4L2"
"ANKRD30A"	2.22594924841549e-115	1.83760439214457	0.864	0.497	5.28462611066321e-111	"Cancer cells"	"ANKRD30A"
"AKT3"	1.82264546308388e-114	-1.03909059306149	0.121	0.619	4.32714259390744e-110	"Cancer cells"	"AKT3"
"LRCH1"	1.54130923144609e-113	-0.775831322729921	0.27	0.554	3.65922224637616e-109	"Cancer cells"	"LRCH1"
"STRBP"	1.18015459738874e-112	0.845303652530061	0.705	0.338	2.8018050296606e-108	"Cancer cells"	"STRBP"
"RASEF"	3.9151351548917e-112	0.896993835002835	0.608	0.189	9.29492237122839e-108	"Cancer cells"	"RASEF"
"CCDC125"	1.42235164394517e-111	0.746237115292546	0.568	0.234	3.37680503789022e-107	"Cancer cells"	"CCDC125"
"MAP7"	4.3987544230142e-111	0.874942433483481	0.642	0.254	1.0443082875678e-106	"Cancer cells"	"MAP7"
"PLEKHA7"	1.01132577984883e-110	0.790785742342209	0.724	0.377	2.40098853393911e-106	"Cancer cells"	"PLEKHA7"
"C1orf21"	9.51365436029306e-108	0.997613773024687	0.803	0.445	2.25863668167717e-103	"Cancer cells"	"C1orf21"
"C1QTNF3-AMACR"	5.27002756158742e-102	0.894060828108976	0.703	0.382	1.25115724339647e-97	"Cancer cells"	"C1QTNF3-AMACR"
"OTUD7B"	2.26952598670718e-101	0.688416421664418	0.604	0.324	5.38808164504152e-97	"Cancer cells"	"OTUD7B"
"KCTD1"	2.27388573157479e-101	0.909884305170846	0.579	0.254	5.39843211533171e-97	"Cancer cells"	"KCTD1"
"CAMK2D"	8.06280721261381e-101	-1.00244846090444	0.264	0.643	1.91419106034664e-96	"Cancer cells"	"CAMK2D"
"MT-CO3"	1.05431387619469e-100	1.47159049842746	0.804	0.578	2.50304657347382e-96	"Cancer cells"	"MT-CO3"
"RALGPS2"	4.45743140967794e-100	0.933680214615092	0.683	0.327	1.05823879097164e-95	"Cancer cells"	"RALGPS2"
"DAP3"	1.37566313019081e-99	0.669965709403697	0.632	0.377	3.265961837386e-95	"Cancer cells"	"DAP3"
"CSAD"	1.36672228943572e-97	0.673890827476555	0.608	0.343	3.24473538734934e-93	"Cancer cells"	"CSAD"
"GTF2IRD1"	2.14264999714484e-97	0.755482339547433	0.596	0.324	5.08686535822156e-93	"Cancer cells"	"GTF2IRD1"
"NEBL"	1.06009666871279e-96	1.21758530565719	0.867	0.285	2.51677550119104e-92	"Cancer cells"	"NEBL"
"ACACA"	4.21157830727131e-96	0.74588664067556	0.756	0.523	9.99870805929283e-92	"Cancer cells"	"ACACA"
"MEF2A"	3.99030981012731e-95	-0.817231587517479	0.471	0.713	9.47339452022324e-91	"Cancer cells"	"MEF2A"
"TMEM241"	1.14311558797076e-94	0.732709171649658	0.65	0.336	2.71387071740139e-90	"Cancer cells"	"TMEM241"
"PPM1H"	1.3361235010162e-94	0.768697096032471	0.526	0.215	3.17209080376256e-90	"Cancer cells"	"PPM1H"
"TUT4"	3.48332606543887e-93	-0.578602304068033	0.198	0.506	8.26976441195843e-89	"Cancer cells"	"TUT4"
"PTPRG"	1.83552839046912e-92	-1.29630006223926	0.418	0.593	4.35772795181273e-88	"Cancer cells"	"PTPRG"
"RASAL2"	3.47548997550387e-92	-0.919041666805921	0.514	0.686	8.25116075084374e-88	"Cancer cells"	"RASAL2"
"ARHGAP35"	5.07491865629932e-92	0.622261980447475	0.611	0.365	1.20483643819202e-87	"Cancer cells"	"ARHGAP35"
"IQCK"	5.07649619393455e-92	0.668791962154512	0.565	0.255	1.205210961402e-87	"Cancer cells"	"IQCK"
"GLI3"	5.61196548638015e-92	0.847393264130628	0.757	0.485	1.33233672612151e-87	"Cancer cells"	"GLI3"
"PTPRF"	7.86124485246638e-92	0.760145135633985	0.638	0.291	1.86633814042404e-87	"Cancer cells"	"PTPRF"
"ERGIC1"	1.10418827388264e-91	0.653494499775693	0.615	0.409	2.62145338102477e-87	"Cancer cells"	"ERGIC1"
"ANKRD44"	5.45636394228345e-91	-0.878121882396663	0.337	0.502	1.29539536353751e-86	"Cancer cells"	"ANKRD44"
"GSN"	8.74806920167618e-91	-0.773069547182632	0.294	0.557	2.07687910916994e-86	"Cancer cells"	"GSN"
"ABCD3"	1.65158558513478e-90	0.611992792125222	0.565	0.288	3.92102933766848e-86	"Cancer cells"	"ABCD3"
"ARSG"	2.35046543127432e-90	0.655887647070306	0.54	0.225	5.58023998038836e-86	"Cancer cells"	"ARSG"
"FAM214A"	2.70514234911525e-90	0.808140928008052	0.701	0.467	6.42227845103452e-86	"Cancer cells"	"FAM214A"
"MED13L"	1.04842978850799e-88	0.758323747873657	0.914	0.888	2.48907716089681e-84	"Cancer cells"	"MED13L"
"ZNF586"	7.95801602676054e-88	0.663489278034443	0.638	0.375	1.88931258491322e-83	"Cancer cells"	"ZNF586"
"KIAA0556"	2.37003232642496e-87	0.600978111370565	0.555	0.302	5.6266937461655e-83	"Cancer cells"	"KIAA0556"
"RCOR3"	2.54632907399985e-87	0.662922809194421	0.637	0.422	6.04523985458305e-83	"Cancer cells"	"RCOR3"
"FTH1"	1.88379388075238e-86	0.869221237369994	0.637	0.415	4.47231505229423e-82	"Cancer cells"	"FTH1"
"TMEM63A"	2.49430199454082e-86	0.602875639403728	0.514	0.271	5.92172236523936e-82	"Cancer cells"	"TMEM63A"
"TRAPPC9"	1.65240379286089e-85	0.782936319463141	0.821	0.599	3.92297184463103e-81	"Cancer cells"	"TRAPPC9"
"MYO6"	2.50473726093411e-85	0.780255503560677	0.778	0.455	5.94649673118367e-81	"Cancer cells"	"MYO6"
"MT-CO2"	8.25050507210755e-85	1.2413457596977	0.691	0.486	1.95875240916905e-80	"Cancer cells"	"MT-CO2"
"NVL"	1.72295081038286e-83	0.646327615483365	0.551	0.333	4.09045751892995e-79	"Cancer cells"	"NVL"
"SH3RF1"	1.10945777050283e-82	0.907289436486798	0.731	0.453	2.63396369295078e-78	"Cancer cells"	"SH3RF1"
"EPB41L5"	4.86470955762113e-82	0.664857538923572	0.555	0.238	1.15493069607483e-77	"Cancer cells"	"EPB41L5"
"AGAP1"	9.23882307998315e-82	0.832861398515872	0.913	0.677	2.1933889874188e-77	"Cancer cells"	"AGAP1"
"CENPP"	3.20838691899002e-81	0.925511534356971	0.571	0.405	7.61703138437422e-77	"Cancer cells"	"CENPP"
"NEK11"	1.40004014628471e-80	0.535874670489506	0.529	0.258	3.32383531129453e-76	"Cancer cells"	"NEK11"
"NEDD4L"	2.81948148917199e-80	0.985264016243658	0.787	0.395	6.69373100344321e-76	"Cancer cells"	"NEDD4L"
"NSD3"	3.49542891965937e-80	0.646332869905314	0.668	0.543	8.29849779816332e-76	"Cancer cells"	"NSD3"
"PIP5K1A"	5.8504097029769e-80	0.63603762457189	0.681	0.526	1.38894576758375e-75	"Cancer cells"	"PIP5K1A"
"SIDT1"	6.30363712705274e-80	0.863349571966	0.599	0.199	1.49654649033359e-75	"Cancer cells"	"SIDT1"
"WWOX"	8.50387558587545e-79	0.956944575906452	0.815	0.809	2.01890510284269e-74	"Cancer cells"	"WWOX"
"ARHGAP21"	3.98770470698449e-78	-0.65513791874647	0.308	0.542	9.46720974485188e-74	"Cancer cells"	"ARHGAP21"
"RAPGEF1"	1.10724028765378e-77	-0.69915591650389	0.363	0.546	2.62869916691884e-73	"Cancer cells"	"RAPGEF1"
"NR3C1"	1.47306975620747e-77	-0.616398115787499	0.262	0.556	3.49721490821215e-73	"Cancer cells"	"NR3C1"
"GPATCH2"	6.182555350562e-77	0.75798705410349	0.684	0.475	1.46780046577692e-72	"Cancer cells"	"GPATCH2"
"CATSPERB"	4.59409027654781e-75	0.881853149856775	0.509	0.176	1.09068297255522e-70	"Cancer cells"	"CATSPERB"
"NOS1AP"	1.93587998224109e-74	0.870380722375728	0.506	0.215	4.59597266583856e-70	"Cancer cells"	"NOS1AP"
"DIAPH2"	2.78733792701961e-74	-0.756596791100266	0.316	0.585	6.61741897253727e-70	"Cancer cells"	"DIAPH2"
"IKBKB"	3.73582885833433e-74	0.653224525936677	0.654	0.426	8.86923129257153e-70	"Cancer cells"	"IKBKB"
"ANK3"	3.81253825533514e-74	0.946612129147864	0.688	0.363	9.05134707199115e-70	"Cancer cells"	"ANK3"
"NAALADL2"	5.26438137130343e-74	0.977714388093305	0.856	0.68	1.24981678136115e-69	"Cancer cells"	"NAALADL2"
"TTC28"	2.94073864335334e-73	-0.823503175524876	0.486	0.678	6.98160761318517e-69	"Cancer cells"	"TTC28"
"EHMT1"	3.09603415330369e-73	0.646996086078507	0.773	0.669	7.35029468335829e-69	"Cancer cells"	"EHMT1"
"MIRLET7BHG"	6.97725863137031e-73	0.636739146775781	0.739	0.54	1.65647097167363e-68	"Cancer cells"	"MIRLET7BHG"
"CD46"	1.49181055125267e-72	0.627311652482283	0.654	0.417	3.54170742972896e-68	"Cancer cells"	"CD46"
"C11orf49"	2.24216058552216e-72	0.616706549317505	0.662	0.443	5.32311344608816e-68	"Cancer cells"	"C11orf49"
"UTRN"	3.20163978844173e-72	-0.76242917585185	0.628	0.843	7.60101302173952e-68	"Cancer cells"	"UTRN"
"FLNB"	1.31677964412276e-71	0.727723123116157	0.753	0.439	3.12616655311184e-67	"Cancer cells"	"FLNB"
"DCAF10"	2.83449294854405e-71	0.603410701133047	0.56	0.433	6.72936970913843e-67	"Cancer cells"	"DCAF10"
"RUNX1"	4.19574289722801e-71	-1.01187055508166	0.66	0.745	9.96111321230902e-67	"Cancer cells"	"RUNX1"
"ACBD6"	6.94470911821935e-71	0.547323423799609	0.669	0.494	1.64874339175646e-66	"Cancer cells"	"ACBD6"
"MRTFB"	1.35007329156355e-70	0.690515711872954	0.83	0.525	3.20520900150101e-66	"Cancer cells"	"MRTFB"
"RPL41"	2.42161494245346e-70	0.736661152202586	0.567	0.376	5.74915603487876e-66	"Cancer cells"	"RPL41"
"PRKN"	7.56164661101836e-70	-0.783055702341339	0.325	0.577	1.79521052192187e-65	"Cancer cells"	"PRKN"
"LIMS1"	1.18240292361775e-69	-0.68975299086194	0.426	0.618	2.8071427809609e-65	"Cancer cells"	"LIMS1"
"PDXDC1"	1.83301533444073e-69	0.554766812003197	0.79	0.618	4.35176170549575e-65	"Cancer cells"	"PDXDC1"
"SMYD3"	5.96032011767611e-69	0.789260494470085	0.826	0.798	1.41503959913749e-64	"Cancer cells"	"SMYD3"
"CASC15"	3.15000368606787e-68	-1.04021916952909	0.319	0.553	7.47842375109373e-64	"Cancer cells"	"CASC15"
"PCAT1"	6.27665943082049e-68	0.738039415382835	0.542	0.208	1.49014171547109e-63	"Cancer cells"	"PCAT1"
"WSB1"	6.53827772165047e-68	-0.570527886157705	0.533	0.729	1.55225251389704e-63	"Cancer cells"	"WSB1"
"KIF16B"	1.34323026051541e-67	0.616565980898448	0.64	0.402	3.18896296148963e-63	"Cancer cells"	"KIF16B"
"DST"	2.99557506156948e-67	-0.844224437461832	0.52	0.7	7.11179475367211e-63	"Cancer cells"	"DST"
"TBC1D16"	3.00211542142704e-67	0.535849887341552	0.566	0.344	7.12732222200994e-63	"Cancer cells"	"TBC1D16"
"NFIC"	1.18651677785321e-66	0.558719134717013	0.754	0.582	2.81690948230131e-62	"Cancer cells"	"NFIC"
"GSE1"	2.40824721078686e-66	0.722269679458007	0.807	0.581	5.71741970312909e-62	"Cancer cells"	"GSE1"
"SHROOM3"	4.70227727886316e-66	0.830789298149567	0.757	0.278	1.1163676487749e-61	"Cancer cells"	"SHROOM3"
"DLG5"	1.94951069950795e-65	0.664580844708481	0.604	0.305	4.62833335170182e-61	"Cancer cells"	"DLG5"
"LDLRAD4"	2.98954026649434e-65	0.995519754058745	0.842	0.78	7.09746754668422e-61	"Cancer cells"	"LDLRAD4"
"SRPK2"	1.76531537124678e-64	0.60237048929968	0.833	0.725	4.19103522287698e-60	"Cancer cells"	"SRPK2"
"KAT6B"	1.85222960113249e-64	0.632501396726684	0.751	0.547	4.39737829604865e-60	"Cancer cells"	"KAT6B"
"NCKAP5"	2.86205097786366e-64	0.885645868989128	0.713	0.319	6.79479522654612e-60	"Cancer cells"	"NCKAP5"
