"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"TCF4"	0	-2.20560107502498	0.103	0.761	0	"Epithelial_cells"	"TCF4"
"ZEB1"	0	-2.30074501394488	0.088	0.722	0	"Epithelial_cells"	"ZEB1"
"CHST11"	0	-2.31065302266427	0.083	0.779	0	"Epithelial_cells"	"CHST11"
"CALD1"	0	-2.32803844607035	0.198	0.651	0	"Epithelial_cells"	"CALD1"
"COL5A2"	0	-2.37589263494556	0.166	0.58	0	"Epithelial_cells"	"COL5A2"
"EBF1"	0	-2.40299922115268	0.043	0.534	0	"Epithelial_cells"	"EBF1"
"COL6A3"	0	-2.41109958121919	0.107	0.534	0	"Epithelial_cells"	"COL6A3"
"COL3A1"	0	-2.49419755547691	0.331	0.639	0	"Epithelial_cells"	"COL3A1"
"MIR99AHG"	0	-2.53937891242453	0.129	0.602	0	"Epithelial_cells"	"MIR99AHG"
"BNC2"	0	-2.71698843351	0.091	0.692	0	"Epithelial_cells"	"BNC2"
"COL1A2"	0	-2.79180877359279	0.375	0.665	0	"Epithelial_cells"	"COL1A2"
"COL1A1"	5.06914677317909e-307	-2.60643390627016	0.442	0.664	1.20346613542045e-302	"Epithelial_cells"	"COL1A1"
"GALNT6"	5.27306784024791e-305	1.4962886093552	0.626	0.129	1.25187903595326e-300	"Epithelial_cells"	"GALNT6"
"LRBA"	1.89726005237752e-304	1.34862819857504	0.916	0.689	4.50428509034948e-300	"Epithelial_cells"	"LRBA"
"FMNL2"	2.79905069797733e-304	-1.83060930850685	0.166	0.626	6.64522626206797e-300	"Epithelial_cells"	"FMNL2"
"ADAM12"	1.12022630710746e-300	-2.35676056000798	0.147	0.501	2.65952927570381e-296	"Epithelial_cells"	"ADAM12"
"DRAIC"	1.23836721669948e-296	1.79013659280697	0.574	0.053	2.94000760916623e-292	"Epithelial_cells"	"DRAIC"
"IGFBP7"	1.8546557369689e-296	-1.80843384475114	0.1	0.5	4.40313818513786e-292	"Epithelial_cells"	"IGFBP7"
"CACNA1D"	1.06184238336621e-293	1.77671614221036	0.7	0.193	2.52092000234973e-289	"Epithelial_cells"	"CACNA1D"
"FN1"	3.15821779505412e-293	-2.47158259377621	0.384	0.62	7.497924867238e-289	"Epithelial_cells"	"FN1"
"FBN1"	6.49413439338872e-287	-1.79947263639188	0.079	0.526	1.54177244633442e-282	"Epithelial_cells"	"FBN1"
"ADGRV1"	3.13705882498685e-285	1.4616976589567	0.59	0.054	7.44769135640128e-281	"Epithelial_cells"	"ADGRV1"
"GALNT7"	2.45664677795701e-284	1.45930308674258	0.748	0.339	5.83232511554775e-280	"Epithelial_cells"	"GALNT7"
"CELSR1"	8.17731830854458e-278	1.29396922746602	0.666	0.168	1.94137713963157e-273	"Epithelial_cells"	"CELSR1"
"SYTL2"	2.09615622178999e-275	1.63207134795205	0.702	0.239	4.97648448615162e-271	"Epithelial_cells"	"SYTL2"
"PBX1"	5.76600291260421e-273	1.71750310124258	0.939	0.642	1.36890675148137e-268	"Epithelial_cells"	"PBX1"
"MAST4"	2.98314631871084e-270	1.60856979174918	0.842	0.482	7.08228767525142e-266	"Epithelial_cells"	"MAST4"
"ARFGEF3"	8.1647966954057e-269	1.29031857856312	0.633	0.104	1.93840438345627e-264	"Epithelial_cells"	"ARFGEF3"
"MAP7"	1.69013722395034e-268	1.24953753137629	0.643	0.136	4.01255478338051e-264	"Epithelial_cells"	"MAP7"
"CRNDE"	1.97472850631558e-263	1.25066814285965	0.605	0.153	4.68820294684383e-259	"Epithelial_cells"	"CRNDE"
"AR"	2.66113642122814e-262	1.36192546619868	0.661	0.174	6.31780397763773e-258	"Epithelial_cells"	"AR"
"PVT1"	6.34664598838339e-261	1.43453459995805	0.83	0.437	1.5067572241021e-256	"Epithelial_cells"	"PVT1"
"HIVEP3"	1.07827508988839e-260	1.51304113632311	0.799	0.387	2.55993289090402e-256	"Epithelial_cells"	"HIVEP3"
"COL6A2"	1.74398307211765e-260	-1.54412038649871	0.117	0.516	4.14039021151452e-256	"Epithelial_cells"	"COL6A2"
"WIPF1"	2.37274822206924e-258	-1.34283484500353	0.055	0.646	5.63314155401458e-254	"Epithelial_cells"	"WIPF1"
"RASEF"	7.10572617544933e-255	1.18589246232638	0.591	0.107	1.68697045131343e-250	"Epithelial_cells"	"RASEF"
"ELMO1"	2.14493960409275e-253	-1.67532146115422	0.141	0.611	5.09230111407659e-249	"Epithelial_cells"	"ELMO1"
"ARHGEF38"	6.91618448556711e-253	1.36551274815742	0.547	0.067	1.64197135871849e-248	"Epithelial_cells"	"ARHGEF38"
"DNAH14"	5.74354904327043e-251	1.30667057293547	0.747	0.319	1.36357597836283e-246	"Epithelial_cells"	"DNAH14"
"CDH1"	2.12526629172225e-250	1.18522512622082	0.597	0.079	5.0455947031778e-246	"Epithelial_cells"	"CDH1"
"COBL"	7.50227790581126e-249	1.31470283997086	0.567	0.084	1.78111579761865e-244	"Epithelial_cells"	"COBL"
"CAPN8"	3.68091300333132e-248	1.47448037203722	0.544	0.047	8.73885556120889e-244	"Epithelial_cells"	"CAPN8"
"NEK10"	1.41499508018768e-244	1.38604670830465	0.56	0.133	3.35933981987357e-240	"Epithelial_cells"	"NEK10"
"DNAJC1"	6.6237868200235e-244	1.59299605713198	0.779	0.577	1.57255322894178e-239	"Epithelial_cells"	"DNAJC1"
"LDLRAD3"	2.24225918621561e-243	1.35415663263342	0.727	0.323	5.32334753399447e-239	"Epithelial_cells"	"LDLRAD3"
"MYO6"	4.07101049327976e-241	1.23824926675654	0.776	0.363	9.66498601209547e-237	"Epithelial_cells"	"MYO6"
"SIDT1"	4.26517452902144e-240	1.22049141507099	0.587	0.11	1.01259508493498e-235	"Epithelial_cells"	"SIDT1"
"KCTD1"	7.64260074441955e-240	1.24971388156691	0.58	0.155	1.81442984273265e-235	"Epithelial_cells"	"KCTD1"
"TGFBR2"	4.23932153563223e-236	-1.27089240915765	0.094	0.587	1.00645732577445e-231	"Epithelial_cells"	"TGFBR2"
"COL4A5"	4.93555798077393e-234	1.35928076956507	0.562	0.115	1.17175082021554e-229	"Epithelial_cells"	"COL4A5"
"EPB41L2"	1.15704005015937e-232	-1.28644537692356	0.18	0.592	2.74692878308337e-228	"Epithelial_cells"	"EPB41L2"
"SPARC"	1.30672342047014e-231	-1.63663815386337	0.227	0.568	3.10229207253815e-227	"Epithelial_cells"	"SPARC"
"ZNF552"	3.31906248278622e-231	1.15472383230966	0.55	0.125	7.87978624038277e-227	"Epithelial_cells"	"ZNF552"
"ZNF521"	1.11088749600834e-229	-1.47972512471027	0.077	0.508	2.63735800427341e-225	"Epithelial_cells"	"ZNF521"
"WWP1"	1.27442888719179e-229	1.20862514646513	0.8	0.487	3.02562162108203e-225	"Epithelial_cells"	"WWP1"
"NPNT"	4.45293135363953e-226	1.18511552654322	0.526	0.089	1.05717043266756e-221	"Epithelial_cells"	"NPNT"
"SYNE1"	1.04461691619214e-224	-1.16895225557114	0.155	0.625	2.48002502073175e-220	"Epithelial_cells"	"SYNE1"
"UBE2E2"	1.92357255801974e-223	-1.44115346037423	0.338	0.782	4.56675360999467e-219	"Epithelial_cells"	"UBE2E2"
"CERS4"	2.43904753173542e-221	1.17342662609872	0.579	0.202	5.79054274509305e-217	"Epithelial_cells"	"CERS4"
"RUNX2"	1.38108145803642e-220	-1.71563109793458	0.141	0.509	3.27882548952427e-216	"Epithelial_cells"	"RUNX2"
"TACC1"	3.65563422213592e-220	-1.19275744994473	0.127	0.575	8.67884120677288e-216	"Epithelial_cells"	"TACC1"
"TPD52"	1.97843854771367e-219	1.34366476293954	0.598	0.158	4.69701095612703e-215	"Epithelial_cells"	"TPD52"
"ANK3"	4.50581129484246e-218	1.55384465440009	0.705	0.221	1.06972465950855e-213	"Epithelial_cells"	"ANK3"
"RERG"	3.1776417585027e-217	1.47347190347482	0.706	0.162	7.54403929886125e-213	"Epithelial_cells"	"RERG"
"DOCK4"	3.07540713968132e-216	-1.78902167072521	0.249	0.611	7.30132409031743e-212	"Epithelial_cells"	"DOCK4"
"LLGL2"	2.73178935771206e-213	1.02112630132458	0.581	0.095	6.48554111414421e-209	"Epithelial_cells"	"LLGL2"
"SIPA1L3"	4.28588090871294e-210	1.11982077251468	0.848	0.554	1.01751098653754e-205	"Epithelial_cells"	"SIPA1L3"
"LRP1"	1.65782007231484e-209	-1.1106128191957	0.112	0.521	3.93583063368267e-205	"Epithelial_cells"	"LRP1"
"MDFIC"	3.92107553034896e-209	-1.09556447370675	0.124	0.563	9.30902541660146e-205	"Epithelial_cells"	"MDFIC"
"NRP1"	2.81994240487487e-208	-1.49771964312055	0.156	0.583	6.69482526341342e-204	"Epithelial_cells"	"NRP1"
"ICA1"	2.08507815178844e-205	1.06431504449976	0.632	0.204	4.95018404016093e-201	"Epithelial_cells"	"ICA1"
"MYO5C"	1.12363416281979e-200	0.987462833517841	0.617	0.127	2.66761986595047e-196	"Epithelial_cells"	"MYO5C"
"FGF13"	6.36252226984736e-199	1.50649136818463	0.637	0.152	1.51052641208446e-194	"Epithelial_cells"	"FGF13"
"ESRP1"	7.22923639575047e-198	1.02222646856268	0.52	0.044	1.71629301271512e-193	"Epithelial_cells"	"ESRP1"
"AGAP1"	1.0886479889996e-197	1.27203090121227	0.903	0.632	2.58455919068395e-193	"Epithelial_cells"	"AGAP1"
"GREB1L"	1.23412963593704e-197	1.56638571275004	0.543	0.168	2.92994716867814e-193	"Epithelial_cells"	"GREB1L"
"EVL"	1.77715967611027e-197	1.31983084838229	0.79	0.641	4.2191547870534e-193	"Epithelial_cells"	"EVL"
"STRBP"	3.9597837148203e-196	1.02118021776048	0.69	0.267	9.40092251735487e-192	"Epithelial_cells"	"STRBP"
"MAP4K4"	4.33868419920626e-196	-1.20719892647973	0.286	0.702	1.03004701573356e-191	"Epithelial_cells"	"MAP4K4"
"SH3PXD2B"	1.02936989077862e-194	-1.30401452148294	0.216	0.51	2.44382705769752e-190	"Epithelial_cells"	"SH3PXD2B"
"DLG5"	1.40219429197297e-193	0.992991172209589	0.603	0.218	3.32894946857304e-189	"Epithelial_cells"	"DLG5"
"RAD9A"	4.74671460779042e-193	0.927059120112207	0.641	0.261	1.12691751503552e-188	"Epithelial_cells"	"RAD9A"
"ZNF91"	1.88177466828627e-192	0.941513091018232	0.71	0.437	4.46752123997843e-188	"Epithelial_cells"	"ZNF91"
"PTPRF"	4.94118775488537e-191	1.03150761905149	0.638	0.185	1.17308738488734e-186	"Epithelial_cells"	"PTPRF"
"C1orf21"	5.0470411618697e-191	1.39564146210182	0.793	0.365	1.19821804223949e-186	"Epithelial_cells"	"C1orf21"
"MIPOL1"	1.09218589132449e-185	1.07567012377768	0.64	0.223	2.59295852459348e-181	"Epithelial_cells"	"MIPOL1"
"PLEKHA7"	4.67499361698316e-185	1.04286477277617	0.713	0.3	1.10989023460797e-180	"Epithelial_cells"	"PLEKHA7"
"C1QTNF3-AMACR"	1.40726568296943e-184	1.07410160389601	0.69	0.32	3.34098945793771e-180	"Epithelial_cells"	"C1QTNF3-AMACR"
"SH3RF1"	4.45284200669263e-184	1.16117224243378	0.725	0.385	1.0571492208089e-179	"Epithelial_cells"	"SH3RF1"
"CATSPERB"	1.38743335310788e-183	1.14028135458272	0.502	0.095	3.29390552361341e-179	"Epithelial_cells"	"CATSPERB"
"NOS1AP"	1.7791534333537e-182	1.15182075829755	0.505	0.13	4.22388816612503e-178	"Epithelial_cells"	"NOS1AP"
"LMX1B"	4.32142718294784e-182	1.01479209183942	0.521	0.044	1.02595002750365e-177	"Epithelial_cells"	"LMX1B"
"FOXO1"	4.76832128844839e-182	-1.37217308437091	0.22	0.638	1.13204715709053e-177	"Epithelial_cells"	"FOXO1"
"FAAH2"	6.67503367622493e-182	0.88196920612236	0.521	0.094	1.58471974507256e-177	"Epithelial_cells"	"FAAH2"
"VAV3"	1.37411205690254e-181	1.41615171468585	0.727	0.346	3.26227943429231e-177	"Epithelial_cells"	"VAV3"
"TMC4"	1.69547667930867e-181	0.924376196587935	0.516	0.054	4.02523118434672e-177	"Epithelial_cells"	"TMC4"
"ASTN2"	6.57426580168993e-181	1.05141503737525	0.595	0.249	1.56079644397921e-176	"Epithelial_cells"	"ASTN2"
"MIR29B2CHG"	6.8540681168045e-181	0.995763600297334	0.682	0.315	1.62722431161056e-176	"Epithelial_cells"	"MIR29B2CHG"
"NAALADL2"	3.37517061778637e-180	1.47568022150691	0.856	0.626	8.01299256368662e-176	"Epithelial_cells"	"NAALADL2"
"PEAK1"	4.52221743652463e-179	-1.15975852888225	0.323	0.69	1.07361964160531e-174	"Epithelial_cells"	"PEAK1"
"PPP1R9A"	7.87252515122152e-178	0.980062292821106	0.531	0.097	1.8690161961515e-173	"Epithelial_cells"	"PPP1R9A"
"IGF1R"	4.69220923140415e-177	1.21261497053878	0.856	0.58	1.11397739362766e-172	"Epithelial_cells"	"IGF1R"
"SH3KBP1"	6.06227048007561e-177	-0.941731940556224	0.134	0.532	1.43924363467475e-172	"Epithelial_cells"	"SH3KBP1"
"SEPTIN11"	2.03388885614656e-176	-1.15472940817436	0.217	0.526	4.82865553337754e-172	"Epithelial_cells"	"SEPTIN11"
"DPYD"	2.52243146748064e-175	-1.1940100685042	0.403	0.801	5.9885045469458e-171	"Epithelial_cells"	"DPYD"
"ARHGAP10"	3.75651831794382e-175	-1.05286457707397	0.134	0.501	8.91835013863042e-171	"Epithelial_cells"	"ARHGAP10"
"DENND1B"	2.65530924564566e-173	1.38935173053706	0.673	0.448	6.30396968008735e-169	"Epithelial_cells"	"DENND1B"
"CCDC125"	3.06573200088357e-173	0.881430861116555	0.552	0.175	7.27835434329768e-169	"Epithelial_cells"	"CCDC125"
"FRMD4A"	7.40473689756642e-172	-1.38867933941553	0.341	0.583	1.75795858685124e-167	"Epithelial_cells"	"FRMD4A"
"PCSK6"	1.41253742770095e-171	1.27279764125095	0.501	0.091	3.35350510710483e-167	"Epithelial_cells"	"PCSK6"
"HOOK2"	5.18526154027242e-171	0.901018062948928	0.62	0.204	1.23103294227608e-166	"Epithelial_cells"	"HOOK2"
"RABEP1"	2.99838381683549e-170	1.06088956844314	0.769	0.506	7.11846301954913e-166	"Epithelial_cells"	"RABEP1"
"NFIA"	8.9508102343533e-170	1.30458945884228	0.907	0.609	2.12501185773782e-165	"Epithelial_cells"	"NFIA"
"VIM"	1.95768524494694e-168	-0.99530398552502	0.15	0.5	4.64774054002853e-164	"Epithelial_cells"	"VIM"
"MITF"	1.08769771262473e-167	-1.26744503666278	0.16	0.502	2.58230313954237e-163	"Epithelial_cells"	"MITF"
"ARSG"	2.84948537556552e-166	0.810647464830493	0.525	0.171	6.76496323013009e-162	"Epithelial_cells"	"ARSG"
"TMEM241"	8.58822228418182e-165	0.909640196530644	0.637	0.276	2.03892985248761e-160	"Epithelial_cells"	"TMEM241"
"SORBS2"	1.44716407121763e-164	1.24960657454115	0.57	0.182	3.43571222147779e-160	"Epithelial_cells"	"SORBS2"
"EPB41L5"	1.53324664756032e-164	0.876819058646854	0.547	0.164	3.64008086597296e-160	"Epithelial_cells"	"EPB41L5"
"CAMK2D"	1.36106395876121e-163	-1.11715664078915	0.28	0.716	3.23130194449498e-159	"Epithelial_cells"	"CAMK2D"
"KIAA1522"	5.46611399879364e-163	0.774018595969098	0.501	0.09	1.2977101244536e-158	"Epithelial_cells"	"KIAA1522"
"TNS1"	6.10922212127847e-162	-1.05155357191409	0.175	0.516	1.45039042381272e-157	"Epithelial_cells"	"TNS1"
"QKI"	9.36388479128795e-158	-1.03187238649359	0.333	0.689	2.22307988829967e-153	"Epithelial_cells"	"QKI"
"ACACA"	1.35744002333107e-156	0.925453323287705	0.742	0.487	3.22269835939029e-152	"Epithelial_cells"	"ACACA"
"BRWD1"	4.7833411994505e-154	0.99269698887463	0.754	0.561	1.13561303416154e-149	"Epithelial_cells"	"BRWD1"
"ENSA"	8.78660664454333e-154	0.892591934993574	0.65	0.355	2.08602828348103e-149	"Epithelial_cells"	"ENSA"
"TSHZ2"	2.06564478802516e-152	-1.81145282010594	0.186	0.588	4.90404729125053e-148	"Epithelial_cells"	"TSHZ2"
"GSN"	5.96132617990918e-152	-0.917096936226818	0.298	0.625	1.41527844837224e-147	"Epithelial_cells"	"GSN"
"NCKAP5"	7.96829369423496e-152	1.33341905933405	0.705	0.222	1.89175260594832e-147	"Epithelial_cells"	"NCKAP5"
"CLSTN2"	2.31826424550668e-147	1.71669676052514	0.555	0.18	5.5037911452574e-143	"Epithelial_cells"	"CLSTN2"
"NME3"	1.78000946328467e-145	0.785691506358305	0.542	0.195	4.22592046678413e-141	"Epithelial_cells"	"NME3"
"ARHGAP24"	2.20181959112439e-145	-1.32758278545359	0.141	0.552	5.22733989128841e-141	"Epithelial_cells"	"ARHGAP24"
"ZMYND8"	3.40222627163533e-145	0.884114099084673	0.729	0.465	8.07722539148943e-141	"Epithelial_cells"	"ZMYND8"
"IQCK"	1.17805537783731e-143	0.756583789280364	0.548	0.206	2.79682127252356e-139	"Epithelial_cells"	"IQCK"
"GTF2IRD1"	4.82306199657059e-142	0.836640189792825	0.583	0.276	1.14504314860582e-137	"Epithelial_cells"	"GTF2IRD1"
"PPM1H"	1.31644458699883e-140	0.883517630356311	0.51	0.163	3.12537109399391e-136	"Epithelial_cells"	"PPM1H"
"MBNL1"	1.45068315157942e-137	-1.05639311896456	0.708	0.913	3.44406687016471e-133	"Epithelial_cells"	"MBNL1"
"KIF16B"	2.41517841897937e-136	0.806521621141917	0.632	0.35	5.73387508449891e-132	"Epithelial_cells"	"KIF16B"
"RBMS1"	4.30785312640693e-135	-0.956772150058739	0.39	0.732	1.02272741074027e-130	"Epithelial_cells"	"RBMS1"
"MIRLET7BHG"	4.145602381292e-132	0.803962155936415	0.736	0.487	9.84207461342534e-128	"Epithelial_cells"	"MIRLET7BHG"
"MYO1E"	5.27942390920031e-132	-1.30848072734605	0.298	0.64	1.25338803028325e-127	"Epithelial_cells"	"MYO1E"
"BICD1"	6.50236823097579e-132	-1.01004519956623	0.201	0.59	1.54372724171596e-127	"Epithelial_cells"	"BICD1"
"RALGPS2"	1.71647274863842e-131	1.01282410719638	0.661	0.274	4.07507795254248e-127	"Epithelial_cells"	"RALGPS2"
"KAZN"	2.34713919543446e-131	1.51190460895847	0.811	0.427	5.57234316388096e-127	"Epithelial_cells"	"KAZN"
"ARHGAP35"	9.67777132747296e-129	0.754003882651587	0.6	0.32	2.29759969085536e-124	"Epithelial_cells"	"ARHGAP35"
"ABCD3"	1.71605927795255e-128	0.737544637859668	0.551	0.241	4.07409633178715e-124	"Epithelial_cells"	"ABCD3"
"GLI3"	2.05160598477024e-128	1.16209730332629	0.751	0.421	4.87071776844302e-124	"Epithelial_cells"	"GLI3"
"IKBKB"	2.29445275667178e-128	0.773773567383869	0.644	0.383	5.44726028961448e-124	"Epithelial_cells"	"IKBKB"
"DGKD"	6.52284060207263e-128	0.748905776670738	0.557	0.253	1.54858758733806e-123	"Epithelial_cells"	"DGKD"
"SLC38A1"	6.62423212742932e-128	0.931283283191933	0.583	0.216	1.57265894937299e-123	"Epithelial_cells"	"SLC38A1"
"FLNB"	4.9384885199413e-127	0.915881932421036	0.741	0.376	1.17244655951926e-122	"Epithelial_cells"	"FLNB"
"CD46"	6.11270298004257e-127	0.718364850134251	0.642	0.377	1.45121681449191e-122	"Epithelial_cells"	"CD46"
"FAM214A"	6.8146091620661e-127	0.927859772992685	0.689	0.427	1.61785636116611e-122	"Epithelial_cells"	"FAM214A"
"GLS"	3.42997575703774e-126	-0.877935752267435	0.285	0.624	8.1431054447833e-122	"Epithelial_cells"	"GLS"
"LDLRAD4"	4.71240540335362e-126	1.12348784079321	0.839	0.768	1.11877216681018e-121	"Epithelial_cells"	"LDLRAD4"
"TRAPPC9"	6.33927719791261e-126	0.842083505545193	0.805	0.575	1.50500779955643e-121	"Epithelial_cells"	"TRAPPC9"
"PTPRG"	1.32827519722609e-125	-1.45455572111215	0.423	0.631	3.15345814573447e-121	"Epithelial_cells"	"PTPRG"
"UACA"	2.4033867358428e-125	-0.926584610716321	0.25	0.533	5.7058804495644e-121	"Epithelial_cells"	"UACA"
"SPATS2L"	2.68756424006184e-125	-0.928099176465429	0.205	0.539	6.38054626233082e-121	"Epithelial_cells"	"SPATS2L"
"CSAD"	7.13231268510558e-125	0.720979001181879	0.592	0.305	1.69328235457092e-120	"Epithelial_cells"	"CSAD"
"AKT3"	1.14038029542674e-123	-1.09327390681555	0.154	0.684	2.70737685937262e-119	"Epithelial_cells"	"AKT3"
"INPP4B"	3.55447570802963e-122	1.23809779272048	0.718	0.378	8.43868077843315e-118	"Epithelial_cells"	"INPP4B"
"ZNF586"	1.63950083515042e-119	0.729514269894389	0.623	0.336	3.89233893273062e-115	"Epithelial_cells"	"ZNF586"
"CERS6"	4.36680471463149e-119	0.917791772947091	0.771	0.491	1.03672310730066e-114	"Epithelial_cells"	"CERS6"
"ANKRD44"	2.95019077357981e-117	-1.03463499505757	0.338	0.549	7.00404791555582e-113	"Epithelial_cells"	"ANKRD44"
"CSNK1A1"	5.59189278240842e-117	0.759113235496914	0.83	0.689	1.32757126547158e-112	"Epithelial_cells"	"CSNK1A1"
"MORF4L2"	8.9288988037802e-116	0.713876617800031	0.595	0.34	2.11980986500546e-111	"Epithelial_cells"	"MORF4L2"
"MAML2"	6.99864150308667e-114	-1.35757267175153	0.295	0.849	1.66154747924781e-109	"Epithelial_cells"	"MAML2"
"LIMCH1"	4.34025230424513e-113	1.28647227424869	0.699	0.325	1.03041929955084e-108	"Epithelial_cells"	"LIMCH1"
"CCSER1"	1.34022933285686e-112	1.31174926334668	0.568	0.276	3.18183845913548e-108	"Epithelial_cells"	"CCSER1"
"LRCH1"	2.62226265026758e-112	-0.793395916849901	0.293	0.582	6.22551375800025e-108	"Epithelial_cells"	"LRCH1"
"MRTFB"	3.44430424500837e-111	0.848188989400872	0.82	0.459	8.17712270807437e-107	"Epithelial_cells"	"MRTFB"
"MEF2A"	3.9806305905398e-111	-0.906331788824004	0.487	0.745	9.45041508500053e-107	"Epithelial_cells"	"MEF2A"
"RERE"	1.36919331887737e-110	0.804961417227666	0.922	0.811	3.25060185834675e-106	"Epithelial_cells"	"RERE"
"CLMN"	2.08679942200294e-110	0.897471490621412	0.571	0.183	4.95427050777718e-106	"Epithelial_cells"	"CLMN"
"RBM47"	2.50275575941054e-110	1.11637530771094	0.867	0.369	5.94179244841656e-106	"Epithelial_cells"	"RBM47"
"DIAPH2"	2.28631023150931e-109	-0.933293372698454	0.312	0.675	5.42792912062624e-105	"Epithelial_cells"	"DIAPH2"
"GPATCH2"	1.08413175201506e-108	0.776923810929893	0.667	0.456	2.57383719245895e-104	"Epithelial_cells"	"GPATCH2"
"DTNB"	1.16677759075143e-108	0.834297543503835	0.67	0.351	2.77004667820298e-104	"Epithelial_cells"	"DTNB"
"CFAP44"	3.04029175631256e-108	0.648881187019922	0.52	0.228	7.21795665866164e-104	"Epithelial_cells"	"CFAP44"
"RCOR3"	4.16769440961503e-108	0.706837709574852	0.624	0.391	9.89452329786705e-104	"Epithelial_cells"	"RCOR3"
"ZKSCAN1"	6.74067882062771e-108	0.731013676649628	0.654	0.416	1.60030455880522e-103	"Epithelial_cells"	"ZKSCAN1"
"MT-CO3"	1.19040776364627e-107	1.37638229705471	0.764	0.614	2.8261470716726e-103	"Epithelial_cells"	"MT-CO3"
"SRGAP2"	5.20282853858103e-107	-0.779487188336004	0.201	0.534	1.23520352334452e-102	"Epithelial_cells"	"SRGAP2"
"DAP3"	1.14956095538477e-106	0.658567139157661	0.606	0.368	2.72917266417898e-102	"Epithelial_cells"	"DAP3"
